City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
275,Ilulissat,Gl,69.2167,-51.1,33.53,63,0,4.63,clear sky
276,Saint-Joseph,Re,-21.3667,55.6167,68.38,75,24,11.25,few clouds
277,Anloga,Gh,5.7947,0.8973,81.97,78,100,11.52,overcast clouds
278,Clyde River,Ca,70.4692,-68.5914,25.03,93,75,14.97,light snow
279,Tome,Cl,-36.6167,-72.95,56.01,85,100,19.93,overcast clouds
280,Saldanha,Za,-33.0117,17.9442,50.05,63,0,19.01,clear sky
281,Zaragoza,Es,41.6561,-0.8773,81.05,42,0,14.97,clear sky
282,Byron Bay,Au,-28.65,153.6167,58.71,69,100,13.02,light rain
283,Ust-Omchug,Ru,61.15,149.6333,33.67,95,100,3.11,light snow
284,Kalach-Na-Donu,Ru,48.691,43.5264,52.09,92,100,2.24,light rain
285,Korla,Cn,41.7597,86.1469,76.26,18,58,11.3,broken clouds
286,Isangel,Vu,-19.55,169.2667,76.46,92,100,17.49,moderate rain
287,Agrafa,Gr,39.136,21.6494,41.07,67,0,3.09,clear sky
288,Dekernes,Eg,31.0876,31.595,69.91,59,0,8.81,clear sky
289,Fairbanks,Us,64.8378,-147.7164,61.09,41,40,4.61,scattered clouds
290,Padang,Id,-0.9492,100.3543,78.12,79,99,2.53,overcast clouds
291,Mali,Gn,12.079,-12.2982,77.02,21,94,3.58,overcast clouds
292,Pizhanka,Ru,57.4604,48.542,36.5,95,75,6.69,broken clouds
293,Lubumbashi,Cd,-11.6609,27.4794,64.65,62,33,2.84,scattered clouds
294,Palmer,Us,42.1584,-72.3287,58.62,83,100,10.36,overcast clouds
295,Asau,Ro,46.4333,26.4,56.32,74,22,4.65,few clouds
296,Los Llanos De Aridane,Es,28.6585,-17.9182,67.75,92,40,14.97,scattered clouds
297,Vardo,No,70.3705,31.1107,35.58,60,100,9.22,overcast clouds
298,Alice Springs,Au,-23.7,133.8833,42.35,100,0,0.0,clear sky
299,Alihe,Cn,50.5667,123.7167,52.03,53,100,3.83,overcast clouds
300,Port Hedland,Au,-20.3167,118.5667,69.85,100,0,3.44,clear sky
301,San Policarpo,Ph,12.1791,125.5072,80.33,83,100,9.24,overcast clouds
302,Olafsvik,Is,64.8945,-23.7142,47.07,83,88,9.28,overcast clouds
303,Aguas Formosas,Br,-17.0822,-40.9358,70.14,30,90,2.06,overcast clouds
304,Udachnyy,Ru,66.4167,112.4,35.46,100,100,16.24,overcast clouds
305,Nishihara,Jp,26.1842,127.7558,74.48,97,100,13.8,light intensity shower rain
306,Ndele,Cf,8.4109,20.6473,77.23,73,94,4.63,light rain
307,Cabedelo,Br,-6.9811,-34.8339,84.87,80,32,10.0,scattered clouds
308,Kuminskiy,Ru,58.6667,66.5667,43.84,87,66,10.94,broken clouds
309,Ormara,Pk,25.2088,64.6357,81.95,88,0,10.78,clear sky
310,Kijang,Kr,35.2442,129.2139,60.53,52,100,6.93,overcast clouds
311,Gudari,In,19.35,83.7833,82.36,84,98,3.62,overcast clouds
312,Sainte-Maxime,Fr,43.3,6.6333,72.52,66,4,0.56,clear sky
313,Havoysund,No,70.9963,24.6622,35.83,74,99,5.41,overcast clouds
314,Inhambane,Mz,-23.865,35.3833,69.78,94,20,0.0,few clouds
315,Katsuura,Jp,35.1333,140.3,65.5,82,100,12.62,overcast clouds
316,Lebu,Cl,-37.6167,-73.65,55.69,88,100,26.08,overcast clouds
317,Mahenge,Tz,-8.6833,36.7167,65.12,65,86,2.84,overcast clouds
318,Kaka,Tm,37.3482,59.6143,76.82,39,6,4.76,clear sky
319,Soyo,Ao,-6.1349,12.3689,77.29,85,2,11.27,clear sky
