City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
433,Cayenne,Gf,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
445,Jalu,Ly,75.2,clear sky,29.0331,21.5482,صاحبة الفخامة
447,Ruidoso,Us,84.06,clear sky,33.3317,-105.673,Inn of the Mountain Gods
449,Ewa Beach,Us,81.59,overcast clouds,21.3156,-158.0072,Base Lodging
450,Makakilo City,Us,80.19,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
452,Chon Daen,Th,77.0,light rain,16.1895,100.8596,ซับขลุง
454,Sibolga,Id,76.95,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
461,Harindanga,In,84.56,broken clouds,22.0383,88.3214,Hasanur Builders
464,Tefe,Br,76.89,overcast clouds,-3.3542,-64.7114,Aracati Hotel
466,Namatanai,Pg,78.78,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
471,Haysville,Us,87.31,clear sky,37.5645,-97.3523,HAYSVILLE EXPRESS INN
479,Sabang,Id,83.16,overcast clouds,5.8933,95.3214,Hotel Citra
484,Benito Juarez,Mx,82.99,broken clouds,19.385,-99.165,Hotel Beverly
485,Banda Aceh,Id,80.35,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
488,Malangwa,Np,83.75,clear sky,26.8568,85.5581,Prem Meat House
497,Mitsamiouli,Km,79.2,broken clouds,-11.3847,43.2844,Foyer ADM
504,Griffith,Us,87.31,clear sky,41.5284,-87.4237,Apartment above Depot Bar
507,Healdsburg,Us,89.98,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
508,Itacare,Br,76.48,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
510,Biak,Id,76.62,overcast clouds,-0.9131,122.8766,Penginapan Kim
516,Casablanca,Ma,77.22,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
518,Port-Gentil,Ga,78.42,light rain,-0.7193,8.7815,Fengshui Residence
520,Mangrol,In,81.61,clear sky,21.1167,70.1167,Hotel The Royal Honours
521,Angoche,Mz,75.15,clear sky,-16.2325,39.9086,Guest House HESADA
523,Moroni,Km,77.18,scattered clouds,-11.7022,43.2551,Hotel les Arcades
526,Shahpur,In,77.88,very heavy rain,16.7,76.8333,Ashwini Hotel & Deluxe Lodge
531,Viet Tri,Vn,75.15,overcast clouds,21.3019,105.4308,Trung tâm Hội nghị tỉnh Phú Thọ
533,Campbellsville,Us,85.14,scattered clouds,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
535,Brasileia,Br,79.74,scattered clouds,-11.0161,-68.7481,Pousada Tobias
538,Nakhon Phanom,Th,75.16,light rain,17.3333,104.4167,ป่ายางรีสอร์ท
539,Matara,Lk,77.45,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
543,El Tocuyo,Ve,84.96,overcast clouds,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
544,Tucurui,Br,80.47,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
551,Yola,Ng,83.52,scattered clouds,9.2,12.4833,Muna Hotel
552,Nabire,Id,75.11,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
553,Dakar,Sn,77.88,clear sky,14.6937,-17.4441,Novotel Dakar
554,Salinas,Us,90.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
